simulation,phase,date,home_team,away_team,lambda_home,lambda_away,home_goals,away_goals,elo_diff,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded,h2h_matches,h2h_home_avg_goals,h2h_away_avg_goals,h2h_home_win_rate,home_wc_participations,away_wc_participations,is_home_home,is_neutral,competition_friendly,competition_qualifier
1,Group stage,2026-06-17,England,Croatia,1.630310297012329,1.0758646726608276,2,0,94.46756707201507,2.2,0.5,2.9,0.8,0.0,2.2,2.9,0.33,16.0,6.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-17,Ghana,Panama,0.8218146562576294,1.872027039527893,3,4,-237.5714618522527,1.5,1.3,1.3,0.8,0.0,1.5,1.3,0.33,4.0,1.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-17,Portugal,DR Congo,2.063178300857544,0.639021098613739,0,1,275.4864091486654,2.6,1.0,1.2,0.3,0.0,2.6,1.2,0.33,8.0,1.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-17,Uzbekistan,Colombia,0.7373384833335876,1.79137122631073,0,2,-213.1223064060914,1.5,0.7,2.1,1.0,0.0,1.5,2.1,0.33,0.0,6.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-18,Canada,Qatar,2.2064242362976074,0.43120285868644714,5,1,332.5518449247347,1.1,0.5,0.9,1.8,1.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0
1,Group stage,2026-06-18,Czech Republic,South Africa,1.7774336338043213,0.9244930148124695,1,1,180.5312979738792,1.9,1.3,1.7,1.4,0.0,1.9,1.7,0.33,2.0,4.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-18,Mexico,South Korea,1.6889193058013916,0.9532082676887512,0,0,144.58450531302924,1.3,1.1,1.4,1.5,1.0,2.0,2.0,0.0,18.0,12.0,1.0,0.0,0.0,0.0
1,Group stage,2026-06-18,Switzerland,Bosnia and Herzegovina,2.434573173522949,0.7123255729675293,3,0,314.4925730279506,2.3,0.6,2.1,1.3,0.0,2.3,2.1,0.33,13.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-19,Brazil,Haiti,2.4633126258850098,0.6217758655548096,1,1,384.27862161109033,2.1,0.9,1.1,1.0,0.0,2.1,1.1,0.33,23.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-19,Scotland,Morocco,0.9442877769470215,1.511948823928833,1,3,-133.16926788723208,1.7,0.9,1.6,0.6,0.0,1.7,1.6,0.33,9.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-19,Turkey,Paraguay,1.2660014629364014,1.2843841314315796,1,1,8.411748919090314,1.9,1.4,1.0,1.2,0.0,1.9,1.0,0.33,3.0,9.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-19,United States,Australia,1.3298312425613403,1.3154420852661133,1,2,-120.99084129438143,1.7,1.7,1.5,0.9,1.0,2.0,1.0,1.0,12.0,7.0,1.0,0.0,0.0,0.0
1,Group stage,2026-06-20,Ecuador,Curaçao,2.3366386890411377,0.6384405493736267,1,1,363.6367773473819,0.7,0.5,1.5,1.7,0.0,0.7,1.5,0.33,5.0,1.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-20,Germany,Ivory Coast,1.7737822532653809,0.8891798853874207,3,1,149.81554149781573,2.7,0.9,1.8,0.7,0.0,2.7,1.8,0.33,21.0,4.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-20,Netherlands,Sweden,2.0660011768341064,1.1381193399429321,0,1,142.0030099032324,2.8,0.9,1.6,1.8,0.0,2.8,1.6,0.33,12.0,14.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-20,Tunisia,Japan,0.6564843058586121,1.9763165712356567,2,3,-340.43008320517447,1.3,1.1,2.1,0.6,0.0,1.3,2.1,0.33,7.0,8.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-21,Belgium,Iran,1.3608405590057373,1.2894057035446167,1,0,-5.5642932894641035,3.6,1.1,1.5,0.7,0.0,3.6,1.5,0.33,15.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-21,New Zealand,Egypt,1.0176825523376465,1.3899180889129639,3,3,-90.46589175764802,0.8,1.6,1.5,0.7,1.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-21,Spain,Saudi Arabia,3.0225844383239746,0.4749733805656433,3,1,548.7686815894945,2.8,0.4,0.9,1.4,0.0,2.8,0.9,0.33,17.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-21,Uruguay,Cape Verde,2.193951368331909,0.6656901240348816,2,1,324.3035150543376,1.1,0.7,1.4,1.2,0.0,1.1,1.4,0.33,15.0,1.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-22,Argentina,Austria,2.096729040145874,0.813870370388031,1,1,253.05962752654955,2.3,0.5,2.8,0.4,0.0,2.3,2.8,0.33,19.0,8.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-22,France,Iraq,2.408681869506836,0.5691329836845398,4,0,388.7210746627834,2.5,0.7,1.1,0.8,0.0,2.5,1.1,0.33,17.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-22,Jordan,Algeria,0.9713767766952515,1.6722781658172607,0,0,-123.8274561341882,1.8,1.4,2.0,0.6,0.0,1.8,2.0,0.33,1.0,5.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-22,Norway,Senegal,1.4183169603347778,1.0187461376190186,1,1,37.53658478684929,2.9,0.7,1.8,0.8,0.0,2.9,1.8,0.33,4.0,4.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-23,Colombia,DR Congo,1.950786828994751,0.6753852367401123,1,2,252.07826289119248,2.3,1.0,1.2,0.3,0.0,2.3,1.2,0.33,7.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-23,England,Ghana,2.8170738220214844,0.7341846227645874,1,1,502.6523723812825,2.3,0.5,1.7,1.5,0.0,2.3,1.7,0.33,17.0,5.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-23,Panama,Croatia,1.1135226488113403,1.4788490533828735,0,3,-80.13707063027232,1.7,1.1,2.2,1.0,0.0,1.7,2.2,0.33,2.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-23,Portugal,Uzbekistan,1.887360692024231,0.8318827748298645,1,1,177.73965902922805,2.4,1.0,1.3,0.7,0.0,2.4,1.3,0.33,9.0,1.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-24,Bosnia and Herzegovina,Qatar,1.9061464071273804,1.1517761945724487,0,0,60.24334739380242,2.0,1.4,0.8,2.1,0.0,2.0,0.8,0.33,2.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-24,Canada,Switzerland,1.1847940683364868,1.1049399375915527,2,3,-54.4818306430127,1.5,0.5,2.2,0.6,0.0,1.5,2.2,0.33,3.0,13.0,1.0,0.0,0.0,0.0
1,Group stage,2026-06-24,Mexico,Czech Republic,1.6377503871917725,0.7423831224441528,0,0,124.27408769538897,1.3,0.7,1.9,0.9,0.0,1.3,1.9,0.33,18.0,2.0,1.0,0.0,0.0,0.0
1,Group stage,2026-06-24,Morocco,Haiti,1.7945189476013184,0.6712811589241028,2,1,245.29823505437435,1.7,0.7,1.1,0.9,0.0,1.7,1.1,0.33,7.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-24,Scotland,Brazil,0.7377561926841736,2.1224145889282227,2,2,-281.08944328041,1.4,1.2,2.1,1.0,0.0,1.4,2.1,0.33,9.0,23.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-24,South Africa,South Korea,1.046744704246521,1.829592227935791,2,2,-167.98983309032337,1.8,1.5,1.0,1.5,0.0,1.8,1.0,0.33,4.0,12.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-25,Curaçao,Ivory Coast,0.8604575395584106,1.9294718503952026,0,0,-187.87002140550294,1.5,1.6,1.9,0.9,0.0,1.5,1.9,0.33,1.0,4.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-25,Ecuador,Germany,0.988235592842102,1.5006781816482544,1,2,-74.30895094967536,0.8,0.6,3.0,0.8,0.0,0.8,3.0,0.33,5.0,21.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-25,Japan,Sweden,1.8163870573043823,0.9730842113494873,1,0,199.49051227205882,1.8,0.8,1.3,1.5,0.0,1.8,1.3,0.33,8.0,14.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-25,Paraguay,Australia,1.047516942024231,1.351735234260559,0,0,-56.36327776565463,1.1,1.2,1.5,0.9,0.0,1.1,1.5,0.33,9.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-25,Tunisia,Netherlands,0.8555808663368225,1.8158864974975586,0,0,-214.51988084407412,1.5,1.3,2.0,1.0,0.0,1.5,2.0,0.33,7.0,12.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-25,United States,Turkey,1.3647902011871338,1.4529178142547607,0,0,-127.96635293148415,1.7,1.7,2.0,1.4,1.0,1.0,2.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0
1,Group stage,2026-06-26,Cape Verde,Saudi Arabia,1.2200653553009033,1.3353618383407593,2,1,-25.65161792513095,1.4,1.3,0.9,1.7,0.0,1.4,0.9,0.33,1.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-26,Egypt,Iran,1.0240989923477173,1.3689556121826172,2,0,-65.74111723920214,1.6,0.9,1.3,0.6,0.0,1.6,1.3,0.33,4.0,7.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-26,New Zealand,Belgium,0.898810088634491,2.197054147720337,0,2,-196.3243983046957,1.0,1.7,3.3,0.8,0.0,1.0,3.3,0.33,3.0,15.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-26,Norway,France,0.8899530172348022,2.1747448444366455,0,2,-213.46919869659473,2.9,0.8,2.7,0.7,0.0,2.9,2.7,0.33,4.0,17.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-26,Senegal,Iraq,1.730267882347107,0.7880184054374695,1,1,165.86688077309304,1.6,0.9,1.0,1.2,0.0,1.6,1.0,0.33,4.0,2.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-26,Uruguay,Spain,0.8710755109786987,1.8951854705810547,5,1,-241.38096205736656,1.1,0.8,2.9,0.3,0.0,1.1,2.9,0.33,15.0,17.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-27,Algeria,Austria,1.1039378643035889,1.3254656791687012,1,2,-55.48133365956505,1.8,0.6,2.5,0.5,0.0,1.8,2.5,0.33,5.0,8.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-27,Colombia,Portugal,1.4529463052749634,1.2199333906173706,1,0,41.72053595535499,2.3,1.1,2.3,0.9,0.0,2.3,2.3,0.33,7.0,9.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-27,Croatia,Ghana,2.147078514099121,0.7537215948104858,2,0,355.81956977377286,2.0,0.9,1.4,1.6,0.0,2.0,1.4,0.33,7.0,5.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-27,DR Congo,Uzbekistan,1.164373755455017,0.9273124933242798,1,0,36.33133947322972,1.3,0.4,1.4,0.8,0.0,1.3,1.4,0.33,2.0,1.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-27,Jordan,Argentina,0.5179891586303711,2.655259847640991,1,5,-374.52204206376337,1.6,1.1,2.3,0.6,0.0,1.6,2.3,0.33,1.0,19.0,0.0,1.0,0.0,0.0
1,Group stage,2026-06-27,Panama,England,0.7534871697425842,2.098020076751709,2,3,-254.46894102871602,1.6,1.3,2.3,0.3,0.0,1.6,2.3,0.33,2.0,17.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-11,Mexico,South Africa,2.1329286098480225,0.6023440957069397,6,1,297.64561459530705,1.1,1.0,1.5,1.1,0.0,1.1,1.5,0.33,17.0,3.0,1.0,0.0,0.0,0.0
2,Group stage,2026-06-11,South Korea,Czech Republic,1.656619668006897,0.9059049487113953,0,0,98.40437375226111,1.5,1.2,1.8,1.2,0.0,1.5,1.8,0.33,11.0,1.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-12,Canada,Bosnia and Herzegovina,2.178720712661743,0.6230993866920471,1,0,252.19701310772894,1.1,0.4,2.1,1.1,0.0,1.1,2.1,0.33,2.0,1.0,1.0,0.0,0.0,0.0
2,Group stage,2026-06-12,United States,Paraguay,1.3273921012878418,1.1478886604309082,1,0,-90.4406608260008,1.7,1.6,1.0,1.0,1.0,2.0,1.0,1.0,11.0,8.0,1.0,0.0,0.0,0.0
2,Group stage,2026-06-13,Australia,Turkey,1.306311845779419,1.4813357591629028,1,3,-47.69773714089274,1.5,0.9,2.1,1.4,0.0,1.5,2.1,0.33,6.0,2.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-13,Brazil,Morocco,1.3794176578521729,1.0310763120651245,1,1,71.7854817950124,1.8,0.8,1.8,0.5,1.0,1.0,2.0,0.0,22.0,6.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-13,Haiti,Scotland,0.8986091017723083,1.6037302017211914,2,2,-128.96035980586862,1.2,1.1,1.8,1.2,0.0,1.2,1.8,0.33,1.0,8.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-13,Qatar,Switzerland,0.5497463941574097,2.393497943878174,1,2,-360.84472108477416,0.9,1.9,2.5,0.8,0.0,0.9,2.5,0.33,1.0,12.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-14,Germany,Curaçao,2.8003809452056885,0.6807331442832947,6,0,361.1352259778141,2.3,1.1,1.6,1.3,0.0,2.3,1.6,0.33,20.0,0.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-14,Ivory Coast,Ecuador,0.7578378915786743,1.6096333265304565,0,0,-219.15155902699053,2.0,0.7,0.7,0.4,0.0,2.0,0.7,0.33,3.0,4.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-14,Netherlands,Japan,1.4094085693359375,1.0377333164215088,2,0,19.05367466640928,3.0,0.6,1.8,0.7,0.0,3.0,1.8,0.33,11.0,7.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-14,Sweden,Tunisia,1.4389334917068481,1.2469319105148315,0,1,22.565366858667858,1.6,1.8,1.4,1.0,0.0,1.6,1.4,0.33,13.0,6.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-15,Belgium,Egypt,1.4515180587768555,0.9129274487495422,0,0,99.79242592327387,3.5,1.0,1.3,0.8,1.0,1.0,2.0,0.0,14.0,3.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-15,Iran,New Zealand,1.6201878786087036,0.738328218460083,2,0,142.34033556219924,1.6,0.7,0.9,1.5,0.0,1.6,0.9,0.33,6.0,2.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-15,Saudi Arabia,Uruguay,0.7248218059539795,1.7654508352279663,0,5,-283.38107610897714,0.9,1.3,1.0,0.9,0.0,0.9,1.0,0.33,6.0,14.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-15,Spain,Cape Verde,3.966179609298706,0.5665221810340881,6,0,563.2850614519855,3.1,0.8,1.7,1.0,0.0,3.1,1.7,0.33,16.0,0.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-16,Argentina,Algeria,2.156207323074341,0.7074368596076965,4,1,323.48300707879844,2.5,0.4,2.3,0.5,0.0,2.5,2.3,0.33,18.0,4.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-16,Austria,Jordan,2.314819097518921,0.9839795827865601,3,0,80.9944962008201,2.8,0.5,2.0,1.5,0.0,2.8,2.0,0.33,7.0,0.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-16,France,Senegal,2.243558645248413,0.8569515347480774,1,1,209.2497238875883,2.7,1.1,2.5,0.6,0.0,2.7,2.5,0.33,16.0,3.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-16,Iraq,Norway,0.7500935196876526,1.7158862352371216,0,1,-223.33641759859006,1.1,0.7,3.1,0.6,0.0,1.1,3.1,0.33,1.0,3.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-17,England,Croatia,1.630310297012329,1.0758646726608276,1,3,94.46756707201507,2.2,0.5,2.9,0.8,0.0,2.2,2.9,0.33,16.0,6.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-17,Ghana,Panama,0.8218146562576294,1.872027039527893,4,1,-237.5714618522527,1.5,1.3,1.3,0.8,0.0,1.5,1.3,0.33,4.0,1.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-17,Portugal,DR Congo,2.063178300857544,0.639021098613739,3,2,275.4864091486654,2.6,1.0,1.2,0.3,0.0,2.6,1.2,0.33,8.0,1.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-17,Uzbekistan,Colombia,0.7373384833335876,1.79137122631073,2,0,-213.1223064060914,1.5,0.7,2.1,1.0,0.0,1.5,2.1,0.33,0.0,6.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-18,Canada,Qatar,2.229724884033203,0.4308043420314789,0,1,329.2118321064054,1.0,0.4,1.0,1.8,1.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0
2,Group stage,2026-06-18,Czech Republic,South Africa,1.6525542736053467,1.0052995681762695,3,1,136.91503586057092,1.6,1.2,1.5,1.6,0.0,1.6,1.5,0.33,2.0,4.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-18,Mexico,South Korea,1.622493028640747,0.8742263317108154,4,0,100.96824319972097,1.5,0.9,1.3,1.2,1.0,2.0,2.0,0.0,18.0,12.0,1.0,0.0,0.0,0.0
2,Group stage,2026-06-18,Switzerland,Bosnia and Herzegovina,2.391585350036621,0.7153053879737854,0,0,311.15256020962124,2.3,0.7,2.0,1.2,0.0,2.3,2.0,0.33,13.0,2.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-19,Brazil,Haiti,2.3727262020111084,0.6962081789970398,6,0,342.33448841443465,1.9,0.9,1.3,1.2,0.0,1.9,1.3,0.33,23.0,2.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-19,Scotland,Morocco,0.8882871866226196,1.6638104915618896,2,2,-175.11340108388777,1.9,1.1,1.6,0.4,0.0,1.9,1.6,0.33,9.0,7.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-19,Turkey,Paraguay,1.5786546468734741,0.9513007402420044,3,1,111.36531248268443,2.2,1.4,0.8,1.1,0.0,2.2,0.8,0.33,3.0,9.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-19,United States,Australia,1.5026439428329468,1.0604259967803955,2,1,-18.03727773078731,1.6,1.5,1.5,1.2,1.0,2.0,1.0,1.0,12.0,7.0,1.0,0.0,0.0,0.0
2,Group stage,2026-06-20,Ecuador,Curaçao,2.5072832107543945,0.6092014908790588,2,0,394.4705404605811,0.7,0.4,1.5,1.8,0.0,0.7,1.5,0.33,5.0,1.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-20,Germany,Ivory Coast,1.9550273418426514,0.8474416732788086,4,0,180.64930461101494,2.8,0.9,1.7,0.7,0.0,2.8,1.7,0.33,21.0,4.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-20,Netherlands,Sweden,2.4535577297210693,0.9236614108085632,5,1,313.9410470375726,3.0,0.6,1.4,1.9,0.0,3.0,1.4,0.33,12.0,14.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-20,Tunisia,Japan,0.9026086926460266,1.6721794605255127,0,0,-168.49204607083425,1.4,0.9,1.8,0.8,0.0,1.4,1.8,0.33,7.0,8.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-21,Belgium,Iran,1.3089052438735962,1.2498372793197632,0,0,-14.741171972790426,3.4,0.9,1.6,0.7,0.0,3.4,1.6,0.33,15.0,7.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-21,New Zealand,Egypt,1.0016988515853882,1.4347931146621704,1,1,-99.64277044097435,0.8,1.7,1.3,0.5,1.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-21,Spain,Saudi Arabia,3.3324155807495117,0.446502685546875,5,0,559.9979074630849,3.2,0.4,0.9,1.8,0.0,3.2,0.9,0.33,17.0,7.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-21,Uruguay,Cape Verde,2.350745439529419,0.6759136915206909,5,0,335.532740927928,1.5,0.7,1.4,1.6,0.0,1.5,1.4,0.33,15.0,1.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-22,Argentina,Austria,2.191462993621826,0.7876230478286743,1,1,283.32757279246994,2.5,0.4,2.9,0.4,0.0,2.5,2.9,0.33,19.0,8.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-22,France,Iraq,2.3854968547821045,0.5002785325050354,4,2,388.7210746627834,2.4,0.7,1.0,0.8,0.0,2.4,1.0,0.33,17.0,2.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-22,Jordan,Algeria,1.0252126455307007,1.6782195568084717,2,1,-93.55951086826781,1.8,1.5,1.9,0.8,0.0,1.8,1.9,0.33,1.0,5.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-22,Norway,Senegal,1.4025331735610962,1.0031976699829102,3,0,37.53658478684929,2.9,0.6,1.8,0.7,0.0,2.9,1.8,0.33,4.0,4.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-23,Colombia,DR Congo,1.9171174764633179,0.7628138065338135,1,0,222.07826289119248,2.1,1.2,1.3,0.6,0.0,2.1,1.3,0.33,7.0,2.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-23,England,Ghana,2.222670793533325,0.750980794429779,1,0,316.7879361547002,2.2,0.8,1.8,1.2,0.0,2.2,1.8,0.33,17.0,5.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-23,Panama,Croatia,0.8135685920715332,1.868581771850586,1,0,-266.0015068568546,1.4,1.2,2.5,0.9,0.0,1.4,2.5,0.33,2.0,7.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-23,Portugal,Uzbekistan,1.8574730157852173,0.8446226119995117,0,0,147.73965902922805,2.7,1.1,1.5,0.5,0.0,2.7,1.5,0.33,9.0,1.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-24,Bosnia and Herzegovina,Qatar,1.4895778894424438,1.1282734870910645,0,1,29.15231174142491,1.9,1.0,0.9,1.6,0.0,1.9,0.9,0.33,2.0,2.0,0.0,1.0,0.0,0.0
2,Group stage,2026-06-24,Canada,Switzerland,1.0938827991485596,0.9980025291442871,0,1,-78.89284065873153,0.9,0.4,1.9,0.7,0.0,0.9,1.9,0.33,3.0,13.0,1.0,0.0,0.0,0.0
2,Group stage,2026-06-24,Mexico,Czech Republic,1.907666563987732,0.7083675265312195,0,0,181.6022412620821,1.9,0.5,1.8,0.8,0.0,1.9,1.8,0.33,18.0,2.0,1.0,0.0,0.0,0.0
